Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Northern Ireland,2010,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,I42.6,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0
Northern Ireland,2010,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Northern Ireland,2010,K70,0,0,0,0,0,0,1,1,6,14,27,33,27,25,11,9,4,2,0,0
Northern Ireland,2010,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,K86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Northern Ireland,2010,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,X45,0,0,0,0,0,0,4,4,1,5,10,8,5,3,4,0,0,0,0,0
Northern Ireland,2010,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,F10,0,0,0,0,0,0,1,0,2,7,4,7,8,4,3,2,0,0,1,0
Northern Ireland,2009,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Northern Ireland,2009,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,I42.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Northern Ireland,2009,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
